"","x"
"1",2.01954811164301
"2",0.0609702308841346
"3",0.185280695357618
"4",3.07905399842391
"5",0.814707542842358
"6",0.513793650980345
"7",1.05755636842662
"8",1.53029545641665
"9",0.132911280742405
"10",0.629732654285413
"11",0.245333505839734
"12",1.36298091059856
"13",0.605841497982852
"14",0.134287411345432
"15",0.124960303924913
"16",1.76332023852931
"17",0.251793674503946
"18",0.84712306371367
"19",0.48321297091307
"20",0.906793615694947
"21",0.985462415168019
"22",0.119723362463392
"23",2.63987720680773
"24",1.13913033250609
"25",0.337840063043249
"26",4.02846943696262
